case,n,m,r,threads,version,best,average,worst
2,10,10,1000,8,5,100,123,211
2,10,10,1000,8,6,21941,39133,108136
2,10,10,1000,8,7,130,156,199
2,10,10,1000,8,8,17509,59244,369478
2,10,10,1000,8,9,19796,35457,88373
2,10,10,1000,8,10,18998,26905,60096
2,10,10,1000,8,11,21405,38330,119740
2,10,10,1000,8,12,18758,33871,104507
2,10,10,1000,8,13,4318,5175,9106
2,10,10,1000,8,14,913,1059,1501
2,10,10,1000,8,15,686,821,1446
2,10,10,1000,8,16,895,1038,1901
2,10,10,1000,8,17,665,840,1407
2,10,10,1000,9,0,308,461,555
2,10,10,1000,9,1,101,165,327
2,10,10,1000,9,2,83,113,210
2,10,10,1000,9,3,27532,46748,151562
2,10,10,1000,9,4,27082,45880,136280
2,10,10,1000,9,5,86,105,203
2,10,10,1000,9,6,25771,37318,91275
2,10,10,1000,9,7,76,138,172
2,10,10,1000,9,8,24024,34324,84386
2,10,10,1000,9,9,25248,40678,101613
2,10,10,1000,9,10,24231,38820,107576
2,10,10,1000,9,11,24943,40624,98483
2,10,10,1000,9,12,23154,29337,41895
2,10,10,1000,9,13,4183,4602,5760
2,10,10,1000,9,14,656,932,1161
2,10,10,1000,9,15,591,708,1317
2,10,10,1000,9,16,549,878,1131
2,10,10,1000,9,17,593,683,1031
2,10,10,1000,10,0,413,445,502
2,10,10,1000,10,1,78,88,129
2,10,10,1000,10,2,75,99,265
2,10,10,1000,10,3,24152,27297,41831
2,10,10,1000,10,4,22732,25176,37174
2,10,10,1000,10,5,74,83,92
2,10,10,1000,10,6,22393,26453,41554
2,10,10,1000,10,7,71,82,95
2,10,10,1000,10,8,22882,24734,30033
2,10,10,1000,10,9,22820,25051,29372
2,10,10,1000,10,10,23190,25315,32727
2,10,10,1000,10,11,23049,24846,36933
2,10,10,1000,10,12,22463,24630,35454
2,10,10,1000,10,13,4214,4347,4745
2,10,10,1000,10,14,534,568,675
2,10,10,1000,10,15,533,564,624
2,10,10,1000,10,16,526,564,671
2,10,10,1000,10,17,550,566,594
2,10,10,1000,11,0,424,446,468
2,10,10,1000,11,1,75,89,120
2,10,10,1000,11,2,68,76,127
2,10,10,1000,11,3,25095,28016,40711
2,10,10,1000,11,4,21463,23735,30657
2,10,10,1000,11,5,70,76,87
2,10,10,1000,11,6,21016,24160,37672
2,10,10,1000,11,7,71,85,97
2,10,10,1000,11,8,23399,25358,26947
2,10,10,1000,11,9,21959,23996,29342
2,10,10,1000,11,10,23967,28418,39358
2,10,10,1000,11,11,21827,23265,26188
2,10,10,1000,11,12,23131,27457,41308
2,10,10,1000,11,13,4195,4460,4876
2,10,10,1000,11,14,533,563,634
2,10,10,1000,11,15,483,501,520
2,10,10,1000,11,16,511,532,552
2,10,10,1000,11,17,499,518,576
2,10,10,1000,12,0,430,467,506
2,10,10,1000,12,1,82,129,198
2,10,10,1000,12,2,115,140,244
2,10,10,1000,12,3,66511,85405,121174
2,10,10,1000,12,4,61409,75182,92331
2,10,10,1000,12,5,127,131,138
2,10,10,1000,12,6,69598,81111,103103
2,10,10,1000,12,7,95,148,220
2,10,10,1000,12,8,60400,86954,124880
2,10,10,1000,12,9,54196,76902,107253
2,10,10,1000,12,10,26965,74652,115135
2,10,10,1000,12,11,24737,76117,127408
2,10,10,1000,12,12,37230,76738,113422
2,10,10,1000,12,13,4644,7171,8785
2,10,10,1000,12,14,541,797,1103
2,10,10,1000,12,15,462,767,831
2,10,10,1000,12,16,511,795,1035
2,10,10,1000,12,17,529,817,942
3,10,100,10,1,0,36,37,40
3,10,100,10,1,1,56,58,60
3,10,100,10,1,2,53,58,74
3,10,100,10,1,3,381,409,427
3,10,100,10,1,4,523,542,571
3,10,100,10,1,5,56,60,75
3,10,100,10,1,6,440,450,470
3,10,100,10,1,7,62,64,68
3,10,100,10,1,8,431,459,484
3,10,100,10,1,9,438,465,491
3,10,100,10,1,10,433,461,491
3,10,100,10,1,11,432,447,464
3,10,100,10,1,12,453,469,499
3,10,100,10,1,13,47,49,52
3,10,100,10,1,14,53,56,60
3,10,100,10,1,15,52,55,59
3,10,100,10,1,16,60,64,78
3,10,100,10,1,17,53,55,59
3,10,100,10,2,0,33,35,49
3,10,100,10,2,1,28,30,38
3,10,100,10,2,2,33,37,42
3,10,100,10,2,3,1596,1654,1802
3,10,100,10,2,4,1542,1603,1753
3,10,100,10,2,5,28,30,32
3,10,100,10,2,6,1549,1599,1682
3,10,100,10,2,7,32,35,39
3,10,100,10,2,8,1395,1461,1551
3,10,100,10,2,9,1452,1494,1610
3,10,100,10,2,10,1389,1457,1523
3,10,100,10,2,11,1427,1484,1526
3,10,100,10,2,12,1532,1578,1676
3,10,100,10,2,13,52,54,60
3,10,100,10,2,14,29,31,43
3,10,100,10,2,15,29,31,36
3,10,100,10,2,16,30,31,32
3,10,100,10,2,17,30,34,47
3,10,100,10,3,0,17,22,34
3,10,100,10,3,1,14,20,28
3,10,100,10,3,2,16,23,31
3,10,100,10,3,3,1165,1469,2112
3,10,100,10,3,4,1075,1415,2114
3,10,100,10,3,5,12,19,24
3,10,100,10,3,6,1147,1432,1988
3,10,100,10,3,7,16,23,32
3,10,100,10,3,8,1063,1254,1509
3,10,100,10,3,9,1109,1296,1566
3,10,100,10,3,10,1053,1251,1477
3,10,100,10,3,11,1128,1315,1595
3,10,100,10,3,12,1072,1228,1484
3,10,100,10,3,13,31,48,66
3,10,100,10,3,14,13,19,28
3,10,100,10,3,15,15,20,28
3,10,100,10,3,16,13,19,29
3,10,100,10,3,17,11,18,25
3,10,100,10,4,0,17,22,33
3,10,100,10,4,1,12,20,54
3,10,100,10,4,2,16,19,26
3,10,100,10,4,3,1285,1442,1674
3,10,100,10,4,4,1242,1359,1512
3,10,100,10,4,5,10,16,19
3,10,100,10,4,6,1269,1403,1537
3,10,100,10,4,7,14,19,24
3,10,100,10,4,8,1175,1326,1434
3,10,100,10,4,9,1226,1364,1487
3,10,100,10,4,10,1172,1310,1407
3,10,100,10,4,11,1263,1397,1552
3,10,100,10,4,12,1233,1331,1488
3,10,100,10,4,13,35,50,63
